time,remaining_below_baseline_stock,remaining_baseline_stock,remaining_efficient_stock,ret_er_below_baseline_stock,ret_er_baseline_stock,ret_er_efficient_stock,rob_below_baseline_stock,rob_baseline_stock,rob_efficient_stock,remaining_below_baseline_stock_change,remaining_baseline_stock_change,remaining_efficient_stock_change,ret_er_below_baseline_stock_change,ret_er_baseline_stock_change,ret_er_efficient_stock_change,rob_below_baseline_stock_change,rob_baseline_stock_change,rob_efficient_stock_change
0.0,120.0,360.0,120.0,60.0,180.0,60.0,20.0,60.0,20.0,,,,,,,,,
1.0,104.54666623670596,319.633748713967,177.81957564232314,52.94298237115925,162.68782200409407,82.86920032847833,17.816086524856036,54.64429086343122,27.039627314985,-15.45333376329404,-40.36625128603299,57.819575642323144,-7.057017628840747,-17.312177995905927,22.86920032847833,-2.1839134751439637,-5.355709136568777,7.039627314985001
2.0,91.44560567972087,286.1654876188216,224.38890670144,46.23449611996474,145.5501853111242,106.71531856892,15.562236070873995,48.886561700156975,35.05120222897791,-13.10106055698509,-33.46826109514541,46.56933105911685,-6.708486251194515,-17.137636692969863,23.84611824044167,-2.253850453982041,-5.757729163274249,8.011574913992906
3.0,79.76279965836332,256.32034089547676,265.9168594461603,40.25223125278536,130.26776323104755,127.98000551616724,13.552372647631536,43.75212151084207,42.19550584152644,-11.68280602135755,-29.84514672334484,41.527952744720295,-5.982264867179381,-15.282422080076657,21.26468694724724,-2.009863423242459,-5.134440189314901,7.1443036125485335
4.0,69.34471061494862,229.70606727760818,302.94922210744363,34.91757381226851,116.6397329667777,146.94269322095403,11.760086096745866,39.17350786412453,48.566406039129674,-10.418089043414696,-26.614273617868577,37.032362661283344,-5.33465744051685,-13.628030264269853,18.962687704786788,-1.7922865508856702,-4.5786136467175425,6.370900197603234
5.0,60.05442717461597,205.9729100317641,335.97266279362066,30.160417344038045,104.48699906702969,163.85258358893256,10.161822730533888,35.090550004528495,54.247627264937705,-9.290283440332658,-23.733157245844097,33.023440686177025,-4.757156468230463,-12.152733899748014,16.909890367978534,-1.5982633662119774,-4.082957859596036,5.681221225808031
6.0,51.7698592426231,184.80897518449487,365.421165572883,25.91824473678729,93.64985397899032,178.93190128422285,8.736578655297732,31.449590934922742,59.31383040977967,-8.284567931992868,-21.163934847269218,29.448502779262355,-4.242172607250755,-10.837145088039364,15.079317695290285,-1.4252440752361561,-3.6409590696057528,5.066203144841964
7.0,44.38213353321821,165.93613270594568,391.6817337608372,22.135306641332413,83.9858792200555,192.37881413861257,7.465623744524692,28.202782272573216,63.83159398290225,-7.38772570940489,-18.872842478549188,26.260568187954163,-3.7829380954548775,-9.663974758934827,13.446912854389723,-1.2709549107730407,-3.246808662349526,4.517763573122579
8.0,37.79416278985157,149.10636140913553,415.09947580101385,18.76188882952909,75.36807375721236,204.37003741325898,6.3322554932302895,25.307455440170955,67.8602890665989,-6.58797074336664,-16.82977129681015,23.417742040176677,-3.3734178118033213,-8.617805462843137,11.991223274646416,-1.133368251294402,-2.8953268324022616,4.028695083696647
9.0,31.91936989381825,134.09848953054242,435.98214057564036,15.753658864924418,67.68318499788013,215.06315613719593,5.321579518690139,22.725560928295952,71.45285955301406,-5.87479289603332,-15.007871878593107,20.882664774626505,-3.0082299646046735,-7.684888759332225,10.693118723936948,-1.0106759745401508,-2.581894511875003,3.5925704864151697
10.0,26.680550093952768,120.71528815768997,454.6041617483583,13.071083499287194,60.83022045859621,224.5986960421171,4.420313822967607,20.423168260273954,74.6565179167586,-5.238819799865482,-13.383201372852454,18.62202117271795,-2.6825753656372235,-6.852964539283924,9.535539904921166,-0.9012656957225316,-2.302392668021998,3.2036583637445375
11.0,22.008856405143135,108.78087930643905,471.21026428841895,10.678909138618128,54.719120552348095,233.1019703090343,3.616614244914606,18.37002008811578,77.51336566696978,-4.671693688809633,-11.934408851250922,16.606102540060647,-2.392174360669067,-6.111099906248114,8.503274266917202,-0.803699578053001,-2.053148172158174,2.8568477502111733
